Cement,Water,FineAggregate,CoarseAggregate,PET_%,w/c ratio,CS_7d,CS_28d
400.0,192.0,610.0,841.0,0.0,0.48,28.98,40.8
400.0,192.0,549.0,841.0,10.0,0.48,21.0,28.88
400.0,192.0,522.0,841.0,20.0,0.48,20.46,25.7
400.0,192.0,427.0,841.0,30.0,0.48,17.4,18.34
400.0,192.0,366.0,841.0,40.0,0.48,10.4,16.39
400.0,192.0,549.0,841.0,10.0,0.48,20.08,33.04
400.0,192.0,522.0,841.0,20.0,0.48,20.81,24.89
400.0,192.0,427.0,841.0,30.0,0.48,10.62,23.55
400.0,192.0,366.0,841.0,40.0,0.48,14.81,18.98
400.0,192.0,610.0,841.0,0.0,0.48,28.110599999999998,38.76
400.0,192.0,549.0,841.0,10.0,0.48,20.622,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.33724,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.5044,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.587200000000001,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,19.4776,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.435419999999997,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.55628,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.89886,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,29.501640000000002,38.76
400.0,192.0,549.0,841.0,10.0,0.48,20.37,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.091720000000002,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.295599999999997,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.4624,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,20.44144,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.185699999999997,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.42884,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.72114,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,29.15388,38.76
400.0,192.0,549.0,841.0,10.0,0.48,21.378,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,19.8462,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.086799999999997,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.3376,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,20.20048,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,21.18458,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.3014,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.543420000000001,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,28.80612,38.76
400.0,192.0,549.0,841.0,10.0,0.48,21.126,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.82828,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,16.877999999999997,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.2128,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,19.959519999999998,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.93486,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.81116,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.3657,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,28.45836,38.76
400.0,192.0,549.0,841.0,10.0,0.48,20.874,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.58276,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.7132,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.088,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,19.718559999999997,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.685139999999997,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.68372,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,15.07658,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,28.110599999999998,38.76
400.0,192.0,549.0,841.0,10.0,0.48,20.622,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.33724,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.5044,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.587200000000001,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,19.4776,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.435419999999997,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.55628,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.89886,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,29.501640000000002,38.76
400.0,192.0,549.0,841.0,10.0,0.48,20.37,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.091720000000002,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.295599999999997,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.4624,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,20.44144,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.185699999999997,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.42884,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.72114,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,29.15388,38.76
400.0,192.0,549.0,841.0,10.0,0.48,21.378,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,19.8462,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.086799999999997,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.3376,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,20.20048,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,21.18458,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.3014,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.543420000000001,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,28.80612,38.76
400.0,192.0,549.0,841.0,10.0,0.48,21.126,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.82828,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,16.877999999999997,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.2128,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,19.959519999999998,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.93486,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.81116,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,14.3657,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,28.45836,38.76
400.0,192.0,549.0,841.0,10.0,0.48,20.874,28.398666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.58276,26.12833333333333
400.0,192.0,427.0,841.0,30.0,0.48,17.7132,17.423
400.0,192.0,366.0,841.0,40.0,0.48,10.088,16.116833333333332
400.0,192.0,549.0,841.0,10.0,0.48,19.718559999999997,33.590666666666664
400.0,192.0,522.0,841.0,20.0,0.48,20.685139999999997,23.6455
400.0,192.0,427.0,841.0,30.0,0.48,10.68372,23.1575
400.0,192.0,366.0,841.0,40.0,0.48,15.07658,19.296333333333333
400.0,192.0,610.0,841.0,0.0,0.48,28.110599999999998,38.76
